verbatimScientificName,kingdom,phylum,class,nameUk,BernAppendix2,BernAppendix3,Bonn,AEWA,BernResolution6,HabitatsDirectiveAnnex_V,HabitatsDirectiveAnnex_IV,HabitatsDirectiveAnnex_II,BirdsDirectiveAnnex_IІ,BirdsDirectiveAnnex_I,ЧКУ,IUCN,BernAppendix1,EUROBATS,ACCOBAMS,Invasive,ЧС_Полтавська,ЧС_Чернівецька,ЧС_Житомирська,ЧС_Вінницька,ЧС_Харківська,ЧС_Чернігівська,ЧС_Черкаська,ЧС_Івано_Франківська,ЧС_Рівненська,ЧС_Одеська,ЧС_Сумська,ЧС_Закарпатська,ЧС_Львівська,ЧС_Миколаївська,ЧС_Донецька,ЧС_Херсонська,ЧС_Севастополь,ЧС_Тернопільська,ЧС_Київ,ЧС_Волинська,ЧС_Хмельницька,ЧС_Запорізька,ЧС_Кіровоградська,ЧС_Луганська,ЧС_Київська,ЧС_Дніпропетровська
"Agrilus mendax Mannerheim, 1837",Animalia,Arthropoda,Insecta,Мідна вузькотіла златка,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Isorhipis melasoides (Laporte de Castelnau, 1835)",Animalia,Arthropoda,Insecta,Ізоріпіс мелязоїдес,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Lichenophanes varius (Illiger, 1801)",Animalia,Arthropoda,Insecta,Каптурник мінливий,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Dermestoides sanguinicollis (Fabricius, 1787)",Animalia,Arthropoda,Insecta,Дерместоїдес червоногрудий,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Dermestes fuliginosus Rossi, 1792",Animalia,Arthropoda,Insecta,Шкіроїд сажисто-чорний,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Combocerus glaber (Schaller, 1783)",Animalia,Arthropoda,Insecta,Комбоцерус гладкий,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Triplax elongata Lacordaire, 1842",Animalia,Arthropoda,Insecta,Грибовик видовжений,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Triplax melanocephala (Latreille, 1804)",Animalia,Arthropoda,Insecta,Грибовик чорноголовий,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Dapsa denticollis (Germar, 1817)",Animalia,Arthropoda,Insecta,Пліснявоїд зубчастогрудий,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Coccinula sinuatomarginata (Faldermann, 1837)",Animalia,Arthropoda,Insecta,Сонечко облямоване,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
